abbreviation	officialName	equation	subSystem	proteinClass	geneAssociation
HBZOPT	Hydroxybenzoate octaprenyltransferase	[c] : 4hbz + octdp --> 3ophb + ppi	Cofactor and Prosthetic Group Biosynthesis		b4040
HCINNMt2rpp	3-hydroxycinnamic acid transport via proton symport, reversible (periplasm)	3hcinnm[p] + h[p] <==> 3hcinnm[c] + h[c]	Transport, Inner Membrane		b0353
HCINNMtex	3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm)	3hcinnm[e] <==> 3hcinnm[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
HCO3E	HCO3 equilibration reaction	[c] : co2 + h2o <==> h + hco3	Unassigned	4.2.1.1	( b0339  or  b0126 )
HCYSMT	homocysteine S-methyltransferase	[c] : amet + hcys-L --> ahcys + h + met-L	Methionine Metabolism	2.1.1.10	b0261
HCYSMT2	Homocysteine Methyltransferase	[c] : hcys-L + mmet --> h + (2) met-L	Methionine Metabolism		b0261
HDCAtexi	Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)	hdca[e] --> hdca[p]	Transport, Outer Membrane		b2344
HDCEAtexi	Hexadecenoate transport via facilitated irreversible diffusion (extracellular to periplasm)	hdcea[e] --> hdcea[p]	Transport, Outer Membrane		b2344
HDCOAI	hexadecenoyl-coa cis-trans isomerization	[c] : hdcoa --> hdd2coa	Membrane Lipid Metabolism	5.3.3.8	b3846
HEMEOS	Heme O synthase	[c] : frdp + h2o + pheme --> hemeO + ppi	Cofactor and Prosthetic Group Biosynthesis		b0428
HEPK1	LPS heptose kinase I (LPS core synthesis)	[c] : atp + hhlipa --> adp + h + phhlipa	Lipopolysaccharide Biosynthesis / Recycling		b3630
HEPK2	LPS heptose kinase II (LPS core synthesis)	[c] : atp + hphhlipa --> adp + h + phphhlipa	Lipopolysaccharide Biosynthesis / Recycling		b3625
HEPT1	heptosyltransferase I (LPS core synthesis)	[c] : adphep-LD + lipa --> adp + h + hlipa	Lipopolysaccharide Biosynthesis / Recycling		b3621
HEPT2	heptosyltransferase II (LPS core synthesis)	[c] : adphep-LD + hlipa --> adp + h + hhlipa	Lipopolysaccharide Biosynthesis / Recycling		b3620
HEPT3	heptosyltransferase III (LPS core synthesis)	[c] : adphep-LD + phhlipa --> adp + h + hphhlipa	Lipopolysaccharide Biosynthesis / Recycling		b3632
HEPT4	heptosyltransferase IV (LPS core synthesis)	[c] : adphep-LD + gggagicolipa --> adp + colipa + h	Lipopolysaccharide Biosynthesis / Recycling		b3623
HETZK	hydroxyethylthiazole kinase	[c] : 4mhetz + atp --> 4mpetz + adp + h	Cofactor and Prosthetic Group Biosynthesis	2.7.1.50	b2104
HEX1	hexokinase (D-glucose:ATP)	[c] : atp + glc-D --> adp + g6p + h	Glycolysis/Gluconeogenesis	2.7.1.1	b2388
HEX4	hexokinase (D-mannose:ATP)	[c] : atp + man --> adp + h + man6p	Alternate Carbon Metabolism	2.7.1.7	
HEX7	hexokinase (D-fructose:ATP)	[c] : atp + fru --> adp + f6p + h	Alternate Carbon Metabolism	2.7.1.1	b0394
HEXt2rpp	hexanoate transport via proton symport, reversible (periplasm)	h[p] + hxa[p] <==> h[c] + hxa[c]	Transport, Inner Membrane		b2223
HG2abcpp	Mercury (Hg+2) ABC transporter (periplasm)	atp[c] + h2o[c] + hg2[c] --> adp[c] + h[c] + hg2[p] + pi[c]	Inorganic Ion Transport and Metabolism		b3469
HG2t3pp	mercury (Hg+2) transport out via proton antiport (periplasm)	h[p] + hg2[c] --> h[c] + hg2[p]	Inorganic Ion Transport and Metabolism		b3915
HG2tex	mercury (Hg+2) transport via diffusion (extracellular to periplasm)	hg2[e] <==> hg2[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
HISabcpp	L-histidine transport via ABC system (periplasm)	atp[c] + h2o[c] + his-L[p] --> adp[c] + h[c] + his-L[c] + pi[c]	Transport, Inner Membrane		( b2309  and  b2307  and  b2306  and  b2308 )
HISt2rpp	L-histidine reversible transport via proton symport (periplasm)	h[p] + his-L[p] <==> h[c] + his-L[c]	Transport, Inner Membrane		b0112
HISTD	histidinol dehydrogenase	[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh	Histidine Metabolism	1.1.1.23	b2020
HIStex	L-histidine transport via diffusion (extracellular to periplasm)	his-L[e] <==> his-L[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
HISTP	histidinol-phosphatase	[c] : h2o + hisp --> histd + pi	Histidine Metabolism	3.1.3.15	b2022
HISTRS	Histidyl-tRNA synthetase	[c] : atp + his-L + trnahis --> amp + histrna + ppi	tRNA Charging	6.1.1.21	b2514
HKNDDH	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	[c] : h2o + hkndd --> h + op4en + succ	Alternate Carbon Metabolism		b0349
HKNTDH	2-hydroxy-6-ketononotrienedioate hydrolase	[c] : h2o + hkntd --> fum + h + op4en	Alternate Carbon Metabolism		b0349
HMBS	hydroxymethylbilane synthase	[c] : h2o + (4) ppbng --> hmbil + (4) nh4	Cofactor and Prosthetic Group Biosynthesis	4.3.1.8	b3805
HMPK1	hydroxymethylpyrimidine kinase (ATP)	[c] : 4ahmmp + atp --> 4ampm + adp + h	Cofactor and Prosthetic Group Biosynthesis	2.7.1.49	( b2103  or  b2418 )
HOMt2pp	L-homoserineserine efflux via proton symport	h[p] + hom-L[c] --> h[c] + hom-L[p]	Transport, Inner Membrane		( b0813  or  b3824 )
HOMtex	L-homoserine transport via diffusion (extracellular to periplasm)	hom-L[e] <==> hom-L[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
HOPNTAL	4-hydroxy-2-oxopentanoate aldolase	[c] : 4h2opntn --> acald + pyr	Alternate Carbon Metabolism		b0352
HPPK2	6-hydroxymethyl-dihydropterin pyrophosphokinase	[c] : 6hmhpt + atp --> 6hmhptpp + amp + h	Cofactor and Prosthetic Group Biosynthesis		b0142
HPPPNDO	2,3-dihydroxypheylpropionate 1,2-dioxygenase	[c] : dhpppn + o2 --> h + hkndd	Alternate Carbon Metabolism	1.13.11.16	b0348
HPPPNt2rpp	3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)	3hpppn[p] + h[p] <==> 3hpppn[c] + h[c]	Transport, Inner Membrane		b0353
HPPPNtex	3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm)	3hpppn[e] <==> 3hpppn[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
HPYRI	hydroxypyruvate isomerase	[c] : hpyr <==> 2h3oppan	Alternate Carbon Metabolism	5.3.1.22	b0508
HPYRRx	Hydroxypyruvate reductase (NADH)	[c] : h + hpyr + nadh --> glyc-R + nad	Alternate Carbon Metabolism		( b1033  or  b3553 )
HPYRRy	Hydroxypyruvate reductase (NADPH)	[c] : h + hpyr + nadph --> glyc-R + nadp	Alternate Carbon Metabolism		( b1033  or  b3553 )
HSDy	homoserine dehydrogenase (NADPH)	[c] : hom-L + nadp <==> aspsa + h + nadph	Threonine and Lysine Metabolism	1.1.1.3	( b3940  or  b0002 )
HSK	homoserine kinase	[c] : atp + hom-L --> adp + h + phom	Threonine and Lysine Metabolism	2.7.1.39	b0003
HSST	homoserine O-succinyltransferase	[c] : hom-L + succoa --> coa + suchms	Methionine Metabolism	2.3.1.46	b4013
HSTPT	histidinol-phosphate transaminase	[c] : glu-L + imacp --> akg + hisp	Histidine Metabolism	2.6.1.9	b2021
Htex	proton transport via diffusion (extracellular to periplasm)	h[e] <==> h[p]	Transport, Outer Membrane Porin		( b0929  or  b1377  or  b2215  or  b0241 )
HXAND	hypoxanthine dehydrogenase	[c] : h2o + hxan + nad --> h + nadh + xan	Nucleotide Salvage Pathway		( b2866  and  b2867  and  b2868 )
HXAtex	Hexanoate transport via diffusion (extracellular to periplasm)	hxa[e] <==> hxa[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
HXCT	Acetyl-CoA:hexanoate-CoA transferase	[c] : accoa + hxa --> ac + hxcoa	Alternate Carbon Metabolism	2.8.3.8	( b2221  and  b2222 )
HXPRT	hypoxanthine phosphoribosyltransferase (Hypoxanthine)	[c] : hxan + prpp --> imp + ppi	Nucleotide Salvage Pathway	2.4.2.8	( b0238  or  b0125 )
HYD1pp	hydrogenase (ubiquinone-8: 2 protons) (periplasm)	(2) h[c] + h2[c] + q8[c] --> (2) h[p] + q8h2[c]	Oxidative Phosphorylation	1.18.99.1	( ( b0972  and  b0973  and  b0974 )  or  ( b2994  and  b2997 )  or  ( b2719  and  b2720  and  b2721  and  b2722  and  b2723  and  b2724 ) )
HYD2pp	Hydrogenase (menaquinone8: 2 protons) (periplasm)	(2) h[c] + h2[c] + mqn8[c] --> (2) h[p] + mql8[c]	Oxidative Phosphorylation	1.18.99.1	( ( b0972  and  b0973  and  b0974 )  or  ( b2994  and  b2997 ) )
HYD3pp	Hydrogenase (Demethylmenaquinone-8: 2 protons) (periplasm)	2dmmq8[c] + (2) h[c] + h2[c] --> 2dmmql8[c] + (2) h[p]	Oxidative Phosphorylation	1.18.99.1	( ( b0972  and  b0973  and  b0974 )  or  ( b2994  and  b2997 ) )
HYPOE	hypothetical enyme	[c] : h2o + pyam5p --> pi + pydam	Cofactor and Prosthetic Group Biosynthesis		
HYXNtex	Hypoxanthine transport via diffusion (extracellular to periplasm)	hxan[e] <==> hxan[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
HYXNtpp	Hypoxanthine transport (periplasm)	hxan[p] <==> hxan[c]	Transport, Inner Membrane		
ICDHyr	isocitrate dehydrogenase (NADP)	[c] : icit + nadp <==> akg + co2 + nadph	Citric Acid Cycle	1.1.1.42	b1136
ICHORS	isochorismate synthase	[c] : chor <==> ichor	Cofactor and Prosthetic Group Biosynthesis	5.4.99.6	b2265
ICHORSi	Isochorismate Synthase	[c] : chor --> ichor	Cofactor and Prosthetic Group Biosynthesis		b0593
ICHORT	isochorismatase	[c] : h2o + ichor --> 23ddhb + pyr	Cofactor and Prosthetic Group Biosynthesis	3.3.2.1	b0595
ICL	Isocitrate lyase	[c] : icit --> glx + succ	Anaplerotic Reactions	4.1.3.1	b4015
IDOND	L-idonate 5-dehydrogenase	[c] : 5dglcn + h + nadh <==> idon-L + nad	Alternate Carbon Metabolism		b4267
IDOND2	L-indonate 5-dehydrogenase (NADP)	[c] : 5dglcn + h + nadph --> idon-L + nadp	Alternate Carbon Metabolism		b4267
IDONt2rpp	L-idonate transport via proton symport, reversible (periplasm)	h[p] + idon-L[p] <==> h[c] + idon-L[c]	Transport, Inner Membrane		b4265
IDONtex	L-idonate transport via diffusion (extracellular to periplasm)	idon-L[e] <==> idon-L[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
IG3PS	Imidazole-glycerol-3-phosphate synthase	[c] : gln-L + prlp --> aicar + eig3p + glu-L + h	Histidine Metabolism		( b2023  and  b2025 )
IGPDH	imidazoleglycerol-phosphate dehydratase	[c] : eig3p --> h2o + imacp	Histidine Metabolism	4.2.1.19	b2022
IGPS	indole-3-glycerol-phosphate synthase	[c] : 2cpr5p + h --> 3ig3p + co2 + h2o	Tyrosine, Tryptophan, and Phenylalanine Metabolism	4.1.1.48	b1262
ILEabcpp	L-isoleucine transport via ABC system (periplasm)	atp[c] + h2o[c] + ile-L[p] --> adp[c] + h[c] + ile-L[c] + pi[c]	Transport, Inner Membrane		( b3454  and  b3455  and  b3457  and  b3460  and  b3456 )
ILEt2rpp	L-isoleucine reversible transport via proton symport (periplasm)	h[p] + ile-L[p] <==> h[c] + ile-L[c]	Transport, Inner Membrane		b0401
ILETA	isoleucine transaminase	[c] : akg + ile-L <==> 3mop + glu-L	Valine, Leucine, and Isoleucine Metabolism	2.6.1.42	b3770
ILEtex	L-isoleucine transport via diffusion (extracellular to periplasm)	ile-L[e] <==> ile-L[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ILETRS	Isoleucyl-tRNA synthetase	[c] : atp + ile-L + trnaile --> amp + iletrna + ppi	tRNA Charging	6.1.1.5	b0026
IMPC	IMP cyclohydrolase	[c] : h2o + imp <==> fprica	Purine and Pyrimidine Biosynthesis	3.5.4.10	b4006
IMPD	IMP dehydrogenase	[c] : h2o + imp + nad --> h + nadh + xmp	Purine and Pyrimidine Biosynthesis	1.1.1.205	b2508
IMPtex	IMP transport via diffusion (extracellular to periplasm)	imp[e] <==> imp[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
INDOLEt2pp	Indole transport via proton symport, irreversible (periplasm)	h[c] + indole[c] --> h[p] + indole[p]	Transport, Inner Membrane		( b3265  and  b3266 )
INDOLEt2rpp	Indole transport via proton symport, reversible (periplasm)	h[p] + indole[p] <==> h[c] + indole[c]	Transport, Inner Membrane		b3161
INDOLEtex	Indole transport via diffusion (extracellular to periplasm)	indole[e] <==> indole[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
INOSTt4pp	Na+/myo-inositol symporter (periplasm)	inost[p] + na1[p] --> inost[c] + na1[c]	Transport, Inner Membrane		b3679
INSH	Inosine hydrolase	[c] : h2o + ins --> hxan + rib-D	Nucleotide Salvage Pathway	3.2.2.8	b0030
INSK	insosine kinase	[c] : atp + ins --> adp + h + imp	Nucleotide Salvage Pathway	2.7.1.73	b0477
INSt2pp	inosine transport in via proton symport (periplasm)	h[p] + ins[p] --> h[c] + ins[c]	Transport, Inner Membrane		b2964
INSt2rpp	inosine transport in via proton symport, reversible (periplasm)	h[p] + ins[p] <==> h[c] + ins[c]	Transport, Inner Membrane		b2406
INStex	inosine transport via diffusion (extracellular to periplasm)	ins[e] <==> ins[p]	Transport, Outer Membrane		b0411
INSTtex	inositol transport via diffusion (extracellular to periplasm)	inost[e] <==> inost[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
IPDDI	isopentenyl-diphosphate D-isomerase	[c] : ipdp <==> dmpp	Cofactor and Prosthetic Group Biosynthesis	5.3.3.2	b2889
IPDPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	[c] : h + h2mb4p + nadh --> h2o + ipdp + nad	Cofactor and Prosthetic Group Biosynthesis		b0029
IPMD	3-isopropylmalate dehydrogenase	[c] : 3c2hmp + nad --> 3c4mop + h + nadh	Valine, Leucine, and Isoleucine Metabolism	1.1.1.85	b0073
IPPMIa	3-isopropylmalate dehydratase	[c] : 3c2hmp <==> 2ippm + h2o	Valine, Leucine, and Isoleucine Metabolism	4.2.1.33	( b0071  and  b0072 )
IPPMIb	2-isopropylmalate hydratase	[c] : 2ippm + h2o <==> 3c3hmp	Valine, Leucine, and Isoleucine Metabolism	4.2.1.33	( b0071  and  b0072 )
IPPS	2-isopropylmalate synthase	[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h	Valine, Leucine, and Isoleucine Metabolism	4.1.3.12	b0074
ISETACabcpp	isethionate transport via ABC system (periplasm)	atp[c] + h2o[c] + isetac[p] --> adp[c] + h[c] + isetac[c] + pi[c]	Transport, Inner Membrane		( ( b0365  and  b0366  and  b0367 )  or  ( b0936  and  b0933  and  b0934 ) )
ISETACtex	isethionate transport via diffusion (extracellular to periplasm)	isetac[e] <==> isetac[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
K2L4Aabcpp	KDO(2)-lipid IV A transport via ABC system (periplasm)	atp[c] + h2o[c] + kdo2lipid4[c] --> adp[c] + h[c] + kdo2lipid4[p] + pi[c]	Transport, Inner Membrane		b0914
K2L4Atex	KDO(2)-lipid IV A transport via vector (periplasm to extracellular)	kdo2lipid4[p] --> kdo2lipid4[e]	Transport, Outer Membrane		
Kabcpp	Potassium ABC transporter (periplasm)	atp[c] + h2o[c] + k[p] --> adp[c] + h[c] + k[c] + pi[c]	Inorganic Ion Transport and Metabolism		( b0698  and  b0697  and  b0696 )
KARA1	ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)	[c] : 23dhmb + nadp <==> alac-S + h + nadph	Valine, Leucine, and Isoleucine Metabolism	1.1.1.86	b3774
KARA2	ketol-acid reductoisomerase (2-Acetolactate)	[c] : 2ahbut + h + nadph <==> 23dhmp + nadp	Valine, Leucine, and Isoleucine Metabolism	1.1.1.86	b3774
KAS14	beta-ketoacyl-ACP synthase	[c] : acACP + h + malACP --> ACP + actACP + co2	Membrane Lipid Metabolism	2.3.1.41	( b2323  or  b1095 )
KAS15	beta-ketoacyl-ACP synthase (2)	[c] : accoa + h + malACP --> actACP + co2 + coa	Membrane Lipid Metabolism		b1091
KAT1	3-ketoacyl-CoA thiolase	[c] : aacoa + coa --> (2) accoa	Membrane Lipid Metabolism	2.3.1.16	( b3845  or  b2342 )
KAT2	3-ketoacyl-CoA thiolase	[c] : 3ohcoa + coa --> accoa + btcoa	Membrane Lipid Metabolism	2.3.1.16	( b3845  or  b2342 )
KAT3	3-ketoacyl-CoA thiolase	[c] : 3oocoa + coa --> accoa + hxcoa	Membrane Lipid Metabolism	2.3.1.16	( b3845  or  b2342 )
KAT4	3-ketoacyl-CoA thiolase	[c] : 3odcoa + coa --> accoa + occoa	Membrane Lipid Metabolism	2.3.1.16	( b3845  or  b2342 )
KAT5	3-ketoacyl-CoA thiolase	[c] : 3oddcoa + coa --> accoa + dcacoa	Membrane Lipid Metabolism	2.3.1.16	( b3845  or  b2342 )
KAT6	3-ketoacyl-CoA thiolase	[c] : 3otdcoa + coa --> accoa + ddcacoa	Membrane Lipid Metabolism	2.3.1.16	( b3845  or  b2342 )
KAT7	3-ketoacyl-CoA thiolase	[c] : 3ohdcoa + coa --> accoa + tdcoa	Membrane Lipid Metabolism	2.3.1.16	( b3845  or  b2342 )
KAT8	3-ketoacyl-CoA thiolase	[c] : 3oodcoa + coa --> accoa + pmtcoa	Membrane Lipid Metabolism	2.3.1.16	( b3845  or  b2342 )
KDOCT2	3-deoxy-manno-octulosonate cytidylyltransferase	[c] : ctp + kdo --> ckdo + ppi	Lipopolysaccharide Biosynthesis / Recycling	2.7.7.38	b0918
KDOPP	3-deoxy-manno-octulosonate-8-phosphatase	[c] : h2o + kdo8p --> kdo + pi	Lipopolysaccharide Biosynthesis / Recycling	3.1.3.45	b3198
KDOPS	3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase	[c] : ara5p + h2o + pep --> kdo8p + pi	Lipopolysaccharide Biosynthesis / Recycling	4.1.2.16	b1215
KG6PDC	3-keto-L-gulonate 6-phosphate decarboxylase	[c] : 3dhgulnp + h --> co2 + xu5p-L	Alternate Carbon Metabolism		( b4196  or  b3581 )
Kt2pp	potassium transport in via proton symport (periplasm)	h[p] + k[p] --> h[c] + k[c]	Inorganic Ion Transport and Metabolism		( b1250  or  ( b1291  and  b3290  and  b1363 )  or  b3747  or  ( b1291  and  b3290  and  b3849 ) )
Kt3pp	potassium transport out via proton antiport (periplasm)	h[p] + k[c] --> h[c] + k[p]	Inorganic Ion Transport and Metabolism		( b1216  or  b0842  or  b3350  or  b0047 )
Ktex	potassium transport via diffusion (extracellular to periplasm)	k[e] <==> k[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
LA4NTpp	4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))	[p] : colipa + uLa4n --> acolipa + udcpp	Lipopolysaccharide Biosynthesis / Recycling		b2257
LACZ	b-galactosidase	[c] : h2o + lcts --> gal + glc-D	Alternate Carbon Metabolism	3.2.1.23	b0344
LACZpp	b-galactosidase	[p] : h2o + lcts --> gal + glc-D	Alternate Carbon Metabolism	3.2.1.108	b2132
LADGMDH	L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase	[c] : LalaDgluMdap + h2o --> 26dap-M + LalaDglu	Murein Recycling		b1326
LALDO2x	D-Lactaldehyde:NAD+ 1-oxidoreductase	[c] : h + mthgxl + nadh --> lald-D + nad	Methylglyoxal Metabolism	1.1.1.21	b3945
LALGP	L-alanyl-gamma-L-glutamate peptidase	[c] : LalaLglu + h2o --> ala-L + glu-L	Murein Recycling		b0237
LCADi	lactaldehyde dehydrogenase	[c] : h2o + lald-L + nad --> (2) h + lac-L + nadh	Alternate Carbon Metabolism	1.2.1.21	b1415
LCARR	lacaldehyde reductase (R-propane-1,2-diol forming)	[c] : h + lald-D + nadh <==> 12ppd-R + nad	Methylglyoxal Metabolism	1.1.1.77	
LCARS	lacaldehyde reductase (S-propane-1,2-diol forming)	[c] : h + lald-L + nadh <==> 12ppd-S + nad	Alternate Carbon Metabolism	1.1.1.77	b2799
LCTSt3ipp	Lactose transport via proton aniport (periplasm)	h[p] + lcts[c] --> h[c] + lcts[p]	Transport, Inner Membrane		( b2170  or  b0070  or  b1528 )
LCTStex	Lactose transport via diffusion (extracellular to periplasm)	lcts[e] <==> lcts[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
LCTStpp	Lactose transport via proton symport (periplasm)	h[p] + lcts[p] <==> h[c] + lcts[c]	Transport, Inner Membrane		b0343
LDH_D	D-lactate dehydrogenase	[c] : lac-D + nad <==> h + nadh + pyr	Pyruvate Metabolism	1.1.1.28	( b2133  or  b1380 )
LDH_D2	D-lactate dehydrogenase	[c] : lac-D + q8 --> pyr + q8h2	Oxidative Phosphorylation	1.1.2.4	b2133
LEUabcpp	L-leucine transport via ABC system (periplasm)	atp[c] + h2o[c] + leu-L[p] --> adp[c] + h[c] + leu-L[c] + pi[c]	Transport, Inner Membrane		( ( b3454  and  b3455  and  b3457  and  b3458  and  b3456 )  or  ( b3454  and  b3455  and  b3457  and  b3460  and  b3456 ) )
LEUt2rpp	L-leucine reversible transport via proton symport (periplasm)	h[p] + leu-L[p] <==> h[c] + leu-L[c]	Transport, Inner Membrane		b0401
LEUTAi	leucine transaminase (irreversible)	[c] : 4mop + glu-L --> akg + leu-L	Valine, Leucine, and Isoleucine Metabolism	2.6.1.42	( b3770  or  b4054 )
LEUtex	L-leucine transport via diffusion (extracellular to periplasm)	leu-L[e] <==> leu-L[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
LEUTRS	Leucyl-tRNA synthetase	[c] : atp + leu-L + trnaleu --> amp + leutrna + ppi	tRNA Charging	6.1.1.4	b0642
LGTHL	lactoylglutathione lyase	[c] : gthrd + mthgxl --> lgt-S	Methylglyoxal Metabolism	4.4.1.5	b1651
LIPAabcpp	lipid A transport via ABC system (periplasm)	atp[c] + h2o[c] + lipa[c] --> adp[c] + h[c] + lipa[p] + pi[c]	Lipopolysaccharide Biosynthesis / Recycling		b0914
LIPACabcpp	lipid (cold) A transport via ABC system (periplasm)	atp[c] + h2o[c] + lipa_cold[c] --> adp[c] + h[c] + lipa_cold[p] + pi[c]	Lipopolysaccharide Biosynthesis / Recycling		b0914
LIPAHT2ex	core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)	[e] : colipa + h + hdca --> h2o + hacolipa	Lipopolysaccharide Biosynthesis / Recycling		b0622
LIPAHTex	Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)	[e] : h + hdca + lipa --> h2o + halipa	Lipopolysaccharide Biosynthesis / Recycling		b0622
LIPAtex	lipid A transport via vector (periplasm to extracellular)	lipa[p] --> lipa[e]	Lipopolysaccharide Biosynthesis / Recycling		
L-LACD2	L-Lactate dehydrogenase (ubiquinone)	[c] : lac-L + q8 --> pyr + q8h2	Oxidative Phosphorylation	1.1.2.3	b3605
L-LACD3	L-Lactate dehydrogenase (menaquinone)	[c] : lac-L + mqn8 --> mql8 + pyr	Oxidative Phosphorylation	1.1.2.3	b3605
L-LACt2rpp	L-lactate reversible transport via proton symport (periplasm)	h[p] + lac-L[p] <==> h[c] + lac-L[c]	Transport, Inner Membrane		( b3603  or  b2975 )
L-LACtex	L-lactate transport via diffusion (extracellular to periplasm)	lac-L[e] <==> lac-L[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
LPADSS	Lipid A disaccaride synthase	[c] : lipidX + u23ga --> h + lipidAds + udp	Lipopolysaccharide Biosynthesis / Recycling	2.4.1.182	b0182
LPLIPAL1A120pp	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm)	[p] : 1ddecg3p + h2o --> ddca + glyc3p + h	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1A140pp	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)	[p] : 1tdecg3p + h2o --> glyc3p + h + ttdca	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1A141pp	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)	[p] : 1tdec7eg3p + h2o --> glyc3p + h + ttdcea	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1A160pp	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)	[p] : 1hdecg3p + h2o --> glyc3p + h + hdca	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1A161pp	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)	[p] : 1hdec9eg3p + h2o --> glyc3p + h + hdcea	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1A180pp	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)	[p] : 1odecg3p + h2o --> glyc3p + h + ocdca	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1A181pp	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)	[p] : 1odec11eg3p + h2o --> glyc3p + h + ocdcea	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1E120pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C12:0) (periplasm)	[p] : 1agpe120 + h2o --> ddca + g3pe + h	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1E140pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm)	[p] : 1agpe140 + h2o --> g3pe + h + ttdca	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1E141pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (periplasm)	[p] : 1agpe141 + h2o --> g3pe + h + ttdcea	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1E160pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)	[p] : 1agpe160 + h2o --> g3pe + h + hdca	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1E161pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)	[p] : 1agpe161 + h2o --> g3pe + h + hdcea	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1E180pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)	[p] : 1agpe180 + h2o --> g3pe + h + ocdca	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1E181pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm)	[p] : 1agpe181 + h2o --> g3pe + h + ocdcea	Glycerophospholipid Metabolism	3.1.1.5	b0494
LPLIPAL1G120pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplasm)	[p] : 1agpg120 + h2o --> ddca + g3pg + h	Glycerophospholipid Metabolism	3.1.1.5	b0494
