abbreviation	lowbnd	uppbnd	obj_coef	equation	officialName	geneAssociation	subsystem
FE3HOXR1	0	1e3	0	fadh2_c + (2) fe3hox_c --> (2) h_c + fad_c + (2) fe2_c + (2) fe3hox_un_c	Fe(III)hydroxamate reductase		Inorganic Ion Transport and Metabolism
FE3HOXR2	0	1e3	0	fmnh2_c + (2) fe3hox_c --> (2) h_c + (2) fe2_c + fmn_c + (2) fe3hox_un_c	Fe(III)hydroxamate reductase		Inorganic Ion Transport and Metabolism
FE3HOXR3	0	1e3	0	rbflvrd_c + (2) fe3hox_c --> (2) h_c + (2) fe2_c + ribflv_c + (2) fe3hox_un_c	Fe(III)hydroxamate reductase		Inorganic Ion Transport and Metabolism
FE3HOXUtex	0	1e3	0	h_p + fe3hox_un_c --> h_c + fe3hox_un_p	Fe(III)hydroxamate unloaded secretion		Inorganic Ion Transport and Metabolism
FE3HOXUtpp	0	1e3	0	h_p + fe3hox_un_p --> h_c + fe3hox_un_e	Fe(III)hydroxamate unloaded secretion (extracellular)		Inorganic Ion Transport and Metabolism
FE3HOXabcpp	0	1e3	0	atp_c + h2o_c + fe3hox_p --> adp_c + h_c + pi_c + fe3hox_c	Ferric-dicitrate transport via ABC system (periplasm)	b0153 and b0151 and b0152	Inorganic Ion Transport and Metabolism
FE3HOXexs	0	1e3	0	fe3_e + fe3hox_un_e --> fe3hox_e	Fe(III) hydroxamate Fe-loading reaction (spontaneaous)	s0001	Inorganic Ion Transport and Metabolism
FE3HOXtonex	0	1e3	0	h_p + fe3hox_e --> h_c + fe3hox_p	Fe(III)hydroxamine transport via ton system (extracellular)	b0150 and (b1252 and b3005 and b3006)	Transport, Outer Membrane
FE3Ri	0	1e3	0	fadh2_c + (2) fe3_c --> (2) h_c + fad_c + (2) fe2_c	Fe(III) reduction	b3844	Cofactor and Prosthetic Group Biosynthesis
FE3abcpp	0	1e3	0	atp_c + h2o_c + fe3_p --> adp_c + h_c + pi_c + fe3_c	Iron (III) transport via ABC system (periplasm to cytoplasm)		Inorganic Ion Transport and Metabolism
FE3tex	-1e3	1e3	0	fe3_e <==> fe3_p	Iron (III) transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
FECRMR1	0	1e3	0	fadh2_c + (2) fecrm_c --> (2) h_c + fad_c + (2) fe2_c + (2) fecrm_un_c	Ferrichrome reductase		Inorganic Ion Transport and Metabolism
FECRMR2	0	1e3	0	fmnh2_c + (2) fecrm_c --> (2) h_c + (2) fe2_c + fmn_c + (2) fecrm_un_c	Ferrichrome reductase		Inorganic Ion Transport and Metabolism
FECRMR3	0	1e3	0	rbflvrd_c + (2) fecrm_c --> (2) h_c + (2) fe2_c + ribflv_c + (2) fecrm_un_c	Ferrichrome reductase		Inorganic Ion Transport and Metabolism
FECRMUtex	0	1e3	0	h_p + fecrm_un_p --> h_c + fecrm_un_e	Ferrichrome (minus Fe) secretion (to extracellular)		Inorganic Ion Transport and Metabolism
FECRMUtpp	0	1e3	0	h_p + fecrm_un_c --> h_c + fecrm_un_p	Ferrichrome (minus Fe) secretion (to periplasm)		Inorganic Ion Transport and Metabolism
FECRMabcpp	0	1e3	0	atp_c + h2o_c + fecrm_p --> adp_c + h_c + pi_c + fecrm_c	Ferrichrome transport via ABC system (periplasm)	b0153 and b0151 and b0152	Inorganic Ion Transport and Metabolism
FECRMexs	0	1e3	0	fe3_e + fecrm_un_e --> fecrm_e	Ferrichrome Fe(III)-loading reaction (spontaneous)	s0001	Inorganic Ion Transport and Metabolism
FECRMtonex	0	1e3	0	h_p + fecrm_e --> h_c + fecrm_p	Ferrichrome transport via ton system (extracellular)	b0150 and (b1252 and b3005 and b3006)	Transport, Outer Membrane
FEENTERR1	0	1e3	0	fadh2_c + (2) feenter_c --> (2) h_c + fad_c + (2) fe2_c + (2) enter_c	Fe-enterobactin reduction (Fe(III)-unloading)		Inorganic Ion Transport and Metabolism
FEENTERR2	0	1e3	0	fmnh2_c + (2) feenter_c --> (2) h_c + (2) fe2_c + fmn_c + (2) enter_c	Fe-enterobactin reduction (Fe(III)-unloading)		Inorganic Ion Transport and Metabolism
FEENTERR3	0	1e3	0	rbflvrd_c + (2) feenter_c --> (2) h_c + (2) fe2_c + ribflv_c + (2) enter_c	Fe-enterobactin reduction (Fe(III)-unloading)		Inorganic Ion Transport and Metabolism
FEENTERabcpp	0	1e3	0	atp_c + h2o_c + feenter_p --> adp_c + h_c + pi_c + feenter_c	Fe-enterobactin transport via ABC system (periplasm)	b0592 and b0588 and b0590 and b0589	Inorganic Ion Transport and Metabolism
FEENTERexs	0	1e3	0	fe3_e + enter_e --> feenter_e	Enterobactin Fe(III) binding (spontaneous)	s0001	Inorganic Ion Transport and Metabolism
FEENTERtex	0	1e3	0	h_p + enter_p --> h_c + enter_e	Enterochelin transport (secretion periplasm)	b3035	Inorganic Ion Transport and Metabolism
FEENTERtonex	0	1e3	0	h_p + feenter_e --> h_c + feenter_p	Fe-enterobactin transport via ton system (extracellular)	b0584 and (b1252 and b3005 and b3006)	Transport, Outer Membrane
FEENTERtpp	0	1e3	0	h_p + enter_c --> h_c + enter_p	Enterochelin transport (secretion)	b0591	Transport, Inner Membrane
FEOXAMR1	0	1e3	0	fadh2_c + (2) feoxam_c --> (2) h_c + fad_c + (2) fe2_c + (2) feoxam_un_c	Ferroxamine reductase	b4367	Inorganic Ion Transport and Metabolism
FEOXAMR2	0	1e3	0	fmnh2_c + (2) feoxam_c --> (2) h_c + (2) fe2_c + fmn_c + (2) feoxam_un_c	Ferroxamine reductase	b4367	Inorganic Ion Transport and Metabolism
FEOXAMR3	0	1e3	0	rbflvrd_c + (2) feoxam_c --> (2) h_c + (2) fe2_c + ribflv_c + (2) feoxam_un_c	Ferroxamine reductase	b4367	Inorganic Ion Transport and Metabolism
FEOXAMUtex	0	1e3	0	h_p + feoxam_un_p --> h_c + feoxam_un_e	Ferroxamine (minus Fe3) secretion (to extracellular)		Inorganic Ion Transport and Metabolism
FEOXAMUtpp	0	1e3	0	h_p + feoxam_un_c --> h_c + feoxam_un_p	Ferroxamine (minus Fe3) secretion (to periplasm)		Inorganic Ion Transport and Metabolism
FEOXAMabcpp	0	1e3	0	atp_c + h2o_c + feoxam_p --> adp_c + h_c + pi_c + feoxam_c	Ferroxamine transport via ABC system (periplasm)	b0153 and b0151 and b0152	Inorganic Ion Transport and Metabolism
FEOXAMexs	0	1e3	0	fe3_e + feoxam_un_e --> feoxam_e	Ferroxamine Fe3-loading reaction (spontaneous)	s0001	Inorganic Ion Transport and Metabolism
FEOXAMtonex	0	1e3	0	h_p + feoxam_e --> h_c + feoxam_p	Ferroxamine transport via ton system (extracellular)	b0150 and (b1252 and b3005 and b3006)	Transport, Outer Membrane
FEROpp	0	1e3	0	(4) h_p + o2_p + (4) fe2_p --> (2) h2o_p + (4) fe3_p	Ferroxidase	b0123	Inorganic Ion Transport and Metabolism
FESD1s	0	1e3	0	(2) h_c + h2o2_c + (2) 4fe4s_c --> (2) h2o_c + (2) fe3_c + (2) 3fe4s_c	Iron-sulfur cluster damage (peroxide, spontaneous)	s0001	Cofactor and Prosthetic Group Biosynthesis
FESD2s	0	1e3	0	(2) h_c + (2) 4fe4s_c + (2) no_c --> h2o_c + (2) fe3_c + (2) 3fe4s_c + n2o_c	Iron-sulfur cluster damage (nitrous oxide, spontaneous)	s0001	Cofactor and Prosthetic Group Biosynthesis
FESR	0	1e3	0	fe2_c + 3fe4s_c --> 4fe4s_c	Iron-sulfur cluster repair	b4209	Cofactor and Prosthetic Group Biosynthesis
FFSD	0	1e3	0	h2o_c + suc6p_c --> g6p_c + fru_c	Beta-fructofuranosidase		Alternate Carbon Metabolism
FHL	0	0	0	h_c + for_c --> co2_c + h2_c	Formate-hydrogen lyase	(b4079 and (b2481 and b2482 and b2483 and b2484 and b2485 and b2486 and b2487 and b2488 and b2489 and b2490)) or (b4079 and (b2719 and b2720 and b2721 and b2722 and b2723 and b2724))	Pyruvate Metabolism
FLDR2	0	1e3	0	nadph_c + (2) flxso_c --> h_c + nadp_c + (2) flxr_c	Flavodoxin reductase (NADPH)	(b0684 and b3924) or (b2895 and b3924)	Unassigned
FLVR	0	1e3	0	h_c + nadph_c + ribflv_c --> nadp_c + rbflvrd_c	Flavin reductase	b3844 or (b2763 and b2764)	Cofactor and Prosthetic Group Biosynthesis
FLVRx	0	1e3	0	h_c + nadh_c + ribflv_c --> nad_c + rbflvrd_c	Flavin reductase (NAD)	b3844	Cofactor and Prosthetic Group Biosynthesis
FMETTRS	0	1e3	0	10fthf_c + mettrna_c --> h_c + thf_c + fmettrna_c	Methionyl-tRNA formyltransferase	b3288	tRNA Charging
FMNAT	0	1e3	0	atp_c + h_c + fmn_c --> ppi_c + fad_c	FMN adenylyltransferase	b0025	Cofactor and Prosthetic Group Biosynthesis
FMNRx	0	1e3	0	h_c + nadh_c + fmn_c --> nad_c + fmnh2_c	FMN reductase	b0937 or b3844	Cofactor and Prosthetic Group Biosynthesis
FMNRx2	0	1e3	0	h_c + nadph_c + fmn_c --> nadp_c + fmnh2_c	FMN reductase	b3844 or b0937 or (b2763 and b2764)	Cofactor and Prosthetic Group Biosynthesis
FOMETRi	0	1e3	0	h_c + 5fthf_c --> h2o_c + methf_c	Aminomethyltransferase	b2912	Folate Metabolism
FORCT	-1e3	1e3	0	forcoa_c + oxa_c <==> for_c + oxalcoa_c	Formyl-CoA Transferase	b2374	Alternate Carbon Metabolism
FORt2pp	0	1e3	0	h_p + for_p --> h_c + for_c	Formate transport via proton symport (uptake only, periplasm)	b0904 or b2492	Transport, Inner Membrane
FORtex	-1e3	1e3	0	for_e <==> for_p	Formate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
FORtppi	0	1e3	0	for_c --> for_p	Formate transport via diffusion (cytoplasm to periplasm)	b0904 or b2492	Transport, Inner Membrane
FRD2	0	1e3	0	fum_c + mql8_c --> mqn8_c + succ_c	Fumarate reductase	b4151 and b4152 and b4153 and b4154	Citric Acid Cycle
FRD3	0	1e3	0	fum_c + 2dmmql8_c --> succ_c + 2dmmq8_c	Fumarate reductase	b4151 and b4152 and b4153 and b4154	Citric Acid Cycle
FRUK	0	1e3	0	atp_c + f1p_c --> adp_c + h_c + fdp_c	Fructose-1-phosphate kinase	b2168	Alternate Carbon Metabolism
FRULYSDG	-1e3	1e3	0	h2o_c + frulysp_c <==> g6p_c + lys__L_c	Fructoselysine phosphate deglycase	b3371	Alternate Carbon Metabolism
FRULYSE	-1e3	1e3	0	psclys_c <==> frulys_c	Fructoselysine 3-epimerase	b4474	Alternate Carbon Metabolism
FRULYSK	0	1e3	0	atp_c + frulys_c --> adp_c + h_c + frulysp_c	Fructoselysine Kinase	b3374	Alternate Carbon Metabolism
FRULYSt2pp	0	1e3	0	h_p + frulys_p --> h_c + frulys_c	Fructoselysine transport via proton symport (periplasm)	b3370	Transport, Inner Membrane
FRULYStex	-1e3	1e3	0	frulys_e <==> frulys_p	Fructoselysine transporter via diffusion (extracellular)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
FRUURt2rpp	-1e3	1e3	0	h_p + fruur_p <==> h_c + fruur_c	D-fructuronate transport via proton symport, reversible (periplasm)	b4321	Transport, Inner Membrane
FRUURtex	-1e3	1e3	0	fruur_e <==> fruur_p	D-fructuronate transport via diffusion (extracellular)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
FRUpts2pp	0	1e3	0	pep_c + fru_p --> pyr_c + f6p_c	Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)	b1817 and b1818 and b1819 and b2415 and b2416	Transport, Inner Membrane
FRUptspp	0	1e3	0	pep_c + fru_p --> pyr_c + f1p_c	D-fructose transport via PEP:Pyr PTS (periplasm)	b2167 and b2169 and b2415 and b2416	Transport, Inner Membrane
FRUtex	-1e3	1e3	0	fru_e <==> fru_p	D-fructose transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
FTHFD	0	1e3	0	h2o_c + 10fthf_c --> h_c + thf_c + for_c	Formyltetrahydrofolate deformylase	b1232	Folate Metabolism
FTHFLi	0	1e3	0	atp_c + thf_c + for_c --> adp_c + pi_c + 10fthf_c	Formate-tetrahydrofolate ligase		Folate Metabolism
FUCtex	-1e3	1e3	0	fuc__L_e <==> fuc__L_p	L-fucose transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
FUCtpp	-1e3	1e3	0	h_p + fuc__L_p <==> h_c + fuc__L_c	L-fucose transport via proton symport (periplasm)	b2801	Transport, Inner Membrane
FUM	-1e3	1e3	0	h2o_c + fum_c <==> mal__L_c	Fumarase	b1612 or b4122 or b1611	Citric Acid Cycle
FUMt2_2pp	0	1e3	0	(2) h_p + fum_p --> (2) h_c + fum_c	Fumarate transport via proton symport (2 H) (periplasm)	b3528	Transport, Inner Membrane
FUMt2_3pp	0	1e3	0	(3) h_p + fum_p --> (3) h_c + fum_c	Fumarate transport via proton symport (3 H) (periplasm)	b4138 or b4123 or b0621	Transport, Inner Membrane
FUMtex	-1e3	1e3	0	fum_e <==> fum_p	Fumarate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
FUSAtex	-1e3	1e3	0	fusa_e <==> fusa_p	Fusidic acid transport via diffusion (extracellular to periplasm)	b1377 or b2215 or b0929 or b0241	Transport, Outer Membrane Porin
FUSAtpp	0	1e3	0	h_p + fusa_p --> h_c + fusa_e	Fusidic acid transport via TolC system	(b0463 and b0462 and b3035) or (b0463 and b2470 and b3035)	Transport, Outer Membrane
G1PACT	0	1e3	0	accoa_c + gam1p_c --> h_c + coa_c + acgam1p_c	Glucosamine-1-phosphate N-acetyltransferase	b3730	Cell Envelope Biosynthesis
G1PPpp	0	1e3	0	h2o_p + g1p_p --> pi_p + glc__D_p	Glucose-1-phosphatase	b1002	Glycolysis/Gluconeogenesis
G1PTT	0	1e3	0	h_c + dttp_c + g1p_c --> ppi_c + dtdpglu_c	Glucose-1-phosphate thymidylyltransferase	b2039 or b3789	Cell Envelope Biosynthesis
G1Ptex	-1e3	1e3	0	g1p_e <==> g1p_p	D-glucose 1-phosphate transport via diffusion	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
G1SAT	-1e3	1e3	0	glu1sa_c <==> 5aop_c	Glutamate-1-semialdehyde aminotransferase	b0154	Cofactor and Prosthetic Group Biosynthesis
G2PP	0	1e3	0	h2o_c + glyc2p_c --> pi_c + glyc_c	Glycerol-2-phosphate phosphatase	b2533	Alternate Carbon Metabolism
G2PPpp	0	1e3	0	h2o_p + glyc2p_p --> pi_p + glyc_p	Glycerol 2-phosphate phosphatase (periplasmic)	b4055	Alternate Carbon Metabolism
G3PAT120	0	1e3	0	ddcaACP_c + glyc3p_c --> ACP_c + 1ddecg3p_c	Glycerol-3-phosphate acyltransferase (C12:0)	b1094 and b4041	Glycerophospholipid Metabolism
G3PAT140	0	1e3	0	myrsACP_c + glyc3p_c --> ACP_c + 1tdecg3p_c	Glycerol-3-phosphate acyltransferase (C14:0)	b1094 and b4041	Glycerophospholipid Metabolism
G3PAT141	0	1e3	0	tdeACP_c + glyc3p_c --> ACP_c + 1tdec7eg3p_c	Glycerol-3-phosphate acyltransferase (C14:1)	b1094 and b4041	Glycerophospholipid Metabolism
G3PAT160	0	1e3	0	palmACP_c + glyc3p_c --> ACP_c + 1hdecg3p_c	Glycerol-3-phosphate acyltransferase (C16:0)	b1094 and b4041	Glycerophospholipid Metabolism
G3PAT161	0	1e3	0	hdeACP_c + glyc3p_c --> ACP_c + 1hdec9eg3p_c	Glycerol-3-phosphate acyltransferase (C16:1)	b1094 and b4041	Glycerophospholipid Metabolism
G3PAT180	0	1e3	0	ocdcaACP_c + glyc3p_c --> ACP_c + 1odecg3p_c	Glycerol-3-phosphate acyltransferase (C18:0)	b1094 and b4041	Glycerophospholipid Metabolism
G3PAT181	0	1e3	0	octeACP_c + glyc3p_c --> ACP_c + 1odec11eg3p_c	Glycerol-3-phosphate acyltransferase (C18:1)	b1094 and b4041	Glycerophospholipid Metabolism
G3PCabcpp	0	1e3	0	atp_c + h2o_c + g3pc_p --> adp_c + h_c + pi_c + g3pc_c	Sn-glycerol-3-phosphocholine transport via ABC system (periplasm)	b3452 and b3453 and b3450 and b3451	Transport, Inner Membrane
G3PCtex	-1e3	1e3	0	g3pc_e <==> g3pc_p	Glycero-3-phosphocholine transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
G3PD2	-1e3	1e3	0	nadp_c + glyc3p_c <==> h_c + nadph_c + dhap_c	Glycerol-3-phosphate dehydrogenase (NADP)	b3608	Alternate Carbon Metabolism
G3PD5	0	1e3	0	glyc3p_c + q8_c --> q8h2_c + dhap_c	Glycerol-3-phosphate dehydrogenase (ubiquinone-8)	(b2241 and b2242 and b2243) or b3426	Oxidative Phosphorylation
G3PD6	0	1e3	0	glyc3p_c + mqn8_c --> mql8_c + dhap_c	Glycerol-3-phosphate dehydrogenase (menaquinone-8)	b2241 and b2242 and b2243	Oxidative Phosphorylation
G3PD7	0	1e3	0	glyc3p_c + 2dmmq8_c --> 2dmmql8_c + dhap_c	Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8)	b2241 and b2242 and b2243	Oxidative Phosphorylation
G3PEabcpp	0	1e3	0	atp_c + h2o_c + g3pe_p --> adp_c + h_c + pi_c + g3pe_c	Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm)	b3452 and b3453 and b3450 and b3451	Transport, Inner Membrane
G3PEtex	-1e3	1e3	0	g3pe_e <==> g3pe_p	Glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm)	b0929 or b1377 or b2215 or b0241	Transport, Outer Membrane Porin
G3PGabcpp	0	1e3	0	atp_c + h2o_c + g3pg_p --> adp_c + h_c + pi_c + g3pg_c	Sn-glycerol-3-phosphoglycerol transport via ABC system (periplasm)	b3452 and b3453 and b3450 and b3451	Transport, Inner Membrane
G3PGtex	-1e3	1e3	0	g3pg_e <==> g3pg_p	Glycerophoglycerol transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
G3PIabcpp	0	1e3	0	atp_c + h2o_c + g3pi_p --> adp_c + h_c + pi_c + g3pi_c	Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm)	b3452 and b3453 and b3450 and b3451	Transport, Inner Membrane
G3PItex	-1e3	1e3	0	g3pi_e <==> g3pi_p	Glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
G3PSabcpp	0	1e3	0	atp_c + h2o_c + g3ps_p --> adp_c + h_c + pi_c + g3ps_c	Sn-glycerol-3-phosphoserine transport via ABC system (periplasm)	b3452 and b3453 and b3450 and b3451	Transport, Inner Membrane
G3PStex	-1e3	1e3	0	g3ps_e <==> g3ps_p	Glycerophosphserine transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
G3PT	0	1e3	0	h2o_c + glyc3p_c --> pi_c + glyc_c	Glycerol-3-phosphatase	b0822	Alternate Carbon Metabolism
G5SADs	0	1e3	0	glu5sa_c --> h2o_c + h_c + 1pyr5c_c	L-glutamate 5-semialdehyde dehydratase (spontaneous)	s0001	Arginine and Proline Metabolism
G5SD	0	1e3	0	h_c + nadph_c + glu5p_c --> pi_c + nadp_c + glu5sa_c	Glutamate-5-semialdehyde dehydrogenase	b0243	Arginine and Proline Metabolism
G6PDA	0	1e3	0	h2o_c + gam6p_c --> nh4_c + f6p_c	Glucosamine-6-phosphate deaminase	b0678	Alternate Carbon Metabolism
G6PDH2r	-1e3	1e3	0	nadp_c + g6p_c <==> h_c + nadph_c + 6pgl_c	Glucose 6-phosphate dehydrogenase	b1852	Pentose Phosphate Pathway
G6PP	0	1e3	0	h2o_c + g6p_c --> pi_c + glc__D_c	Glucose-6-phosphate phosphatase	b0822	Glycolysis/Gluconeogenesis
G6Pt6_2pp	0	1e3	0	(2) pi_c + g6p_p --> (2) pi_p + g6p_c	Glucose-6-phosphate transport via phosphate antiport (periplasm)	b3666	Transport, Inner Membrane
G6Ptex	-1e3	1e3	0	g6p_e <==> g6p_p	Glucose 6-phosphate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GAL1PPpp	0	1e3	0	h2o_p + gal1p_p --> pi_p + gal_p	D-galactose 1-phosphatase	b1002	Alternate Carbon Metabolism
GAL1Ptex	-1e3	1e3	0	gal1p_e <==> gal1p_p	D-galactose 1-phosphate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GALBDtex	-1e3	1e3	0	gal_bD_e <==> gal_bD_p	Beta D-galactose transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GALCTD	0	1e3	0	galct__D_c --> h2o_c + 5dh4dglc_c	Galactarate dehydratase	b3128	Alternate Carbon Metabolism
GALCTLO	0	1e3	0	nad_c + galctn__L_c --> h_c + nadh_c + tagur_c	L-galactonate oxidoreductase	b4358	Alternate Carbon Metabolism
GALCTND	0	1e3	0	galctn__D_c --> h2o_c + 2dh3dgal_c	Galactonate dehydratase	b4478	Alternate Carbon Metabolism
GALCTNLt2pp	0	1e3	0	h_p + galctn__L_p --> h_c + galctn__L_c	L-galactonate transport via proton symport (periplasm)	b4356	Transport, Inner Membrane
GALCTNLtex	-1e3	1e3	0	galctn__L_e <==> galctn__L_p	L-galactonate transport via diffusion (extracellular to periplasm)	b2215 or b1377 or b0929 or b0241	Transport, Outer Membrane Porin
GALCTNt2pp	0	1e3	0	h_p + galctn__D_p --> h_c + galctn__D_c	D-galactonate transport via proton symport (periplasm)	b3691	Transport, Inner Membrane
GALCTNtex	-1e3	1e3	0	galctn__D_e <==> galctn__D_p	D-galactonate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GALCTt2rpp	-1e3	1e3	0	h_p + galct__D_p <==> h_c + galct__D_c	D-galactarte transport via proton symport, reversible (periplasm)	b2789 or b3127	Transport, Inner Membrane
GALCTtex	-1e3	1e3	0	galct__D_e <==> galct__D_p	D-galactarte transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GALKr	-1e3	1e3	0	atp_c + gal_c <==> adp_c + h_c + gal1p_c	Galactokinase	b2045 or b0757	Alternate Carbon Metabolism
GALM2pp	0	1e3	0	gal_bD_p --> gal_p	Aldose-1-epimerase	b0756	Alternate Carbon Metabolism
GALS3	0	1e3	0	h2o_c + melib_c --> glc__D_c + gal_c	A-galactosidase (melibiose)	b4119	Alternate Carbon Metabolism
GALT1	0	1e3	0	gicolipa_c + udpg_c --> h_c + udp_c + gagicolipa_c	Galactosyltransferase I (LPS core synthesis)	b3628	Lipopolysaccharide Biosynthesis / Recycling
GALTptspp	0	1e3	0	pep_c + galt_p --> pyr_c + galt1p_c	Galactitol transport via PEP:Pyr PTS (periplasm)	b2094 and b2093 and b2092 and b2415 and b2416	Transport, Inner Membrane
GALTtex	-1e3	1e3	0	galt_e <==> galt_p	Galactitol transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GALURt2rpp	-1e3	1e3	0	h_p + galur_p <==> h_c + galur_c	D-galacturonate transport via proton symport, reversible (periplasm)	b3093	Transport, Inner Membrane
GALURtex	-1e3	1e3	0	galur_e <==> galur_p	D-galacturonate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GALUi	0	1e3	0	h_c + utp_c + g1p_c --> ppi_c + udpg_c	UTP-glucose-1-phosphate uridylyltransferase (irreversible)	b1236	Cell Envelope Biosynthesis
GALabcpp	0	1e3	0	atp_c + h2o_c + gal_p --> adp_c + h_c + pi_c + gal_c	D-galactose transport via ABC system (periplasm)	(b2149 and b2150 and b2148) or (b4231 and b4227 and b4485 and b4230)	Transport, Inner Membrane
GALt2pp	0	1e3	0	h_p + gal_p --> h_c + gal_c	D-galactose transport in via proton symport (periplasm)	b2943	Transport, Inner Membrane
GALtex	-1e3	1e3	0	gal_e <==> gal_p	D-galactose transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GAM6Pt6_2pp	0	1e3	0	(2) pi_c + gam6p_p --> (2) pi_p + gam6p_c	D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm)	b3666	Transport, Inner Membrane
GAMAN6Ptex	-1e3	1e3	0	gam6p_e <==> gam6p_p	D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GAMptspp	0	1e3	0	pep_c + gam_p --> pyr_c + gam6p_c	D-glucosamine transport via PEP:Pyr PTS (periplasm)	b1817 and b1818 and b1819 and b2415 and b2416	Transport, Inner Membrane
GAMtex	-1e3	1e3	0	gam_e <==> gam_p	D-glucosamine transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GAPD	-1e3	1e3	0	pi_c + nad_c + g3p_c <==> h_c + nadh_c + 13dpg_c	Glyceraldehyde-3-phosphate dehydrogenase	b1779	Glycolysis/Gluconeogenesis
GARFT	-1e3	1e3	0	10fthf_c + gar_c <==> h_c + thf_c + fgam_c	Phosphoribosylglycinamide formyltransferase	b2500	Purine and Pyrimidine Biosynthesis
GART	0	1e3	0	atp_c + for_c + gar_c --> adp_c + h_c + pi_c + fgam_c	GAR transformylase-T	b1849	Purine and Pyrimidine Biosynthesis
GBBTNtex	-1e3	1e3	0	gbbtn_e <==> gbbtn_p	Gamma-butyrobetaine transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
GCALDD	0	1e3	0	h2o_c + nad_c + gcald_c --> (2) h_c + nadh_c + glyclt_c	Glycolaldehyde dehydrogenase	b1415	Folate Metabolism
GDMANE	0	1e3	0	gdpddman_c --> gdpofuc_c	GDP-4-dehydro-6-deoxy-D-mannose epimerase	b2052	Cell Envelope Biosynthesis
GDPDPK	0	1e3	0	atp_c + gdp_c --> h_c + amp_c + ppgpp_c	GDP diphosphokinase	b2784 or b3650	Cofactor and Prosthetic Group Biosynthesis
GDPMNH	0	1e3	0	h2o_c + gdpmann_c --> h_c + gdp_c + man_c	GDP-mannose mannosyl hydrolase	b2051	Cell Envelope Biosynthesis
GDPMNP	0	1e3	0	h2o_c + gdpmann_c --> (2) h_c + gmp_c + man1p_c	GDP-mannose phyrophosphatase	b2467	Cell Envelope Biosynthesis
GDPTPDP	0	1e3	0	h2o_c + gdptp_c --> ppi_c + gtp_c	Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase	b3650	Cofactor and Prosthetic Group Biosynthesis
GDPtex	-1e3	1e3	0	gdp_e <==> gdp_p	GDP transport via diffusion (extracellular to periplasm)	b1377 or b2215 or b0929 or b0241	Transport, Outer Membrane Porin
GF6PTA	0	1e3	0	gln__L_c + f6p_c --> glu__L_c + gam6p_c	Glutamine-fructose-6-phosphate transaminase	b3729	Cell Envelope Biosynthesis
GGGABADr	-1e3	1e3	0	h2o_c + nadp_c + ggbutal_c <==> (2) h_c + nadph_c + gg4abut_c	Gamma-glutamyl-gamma aminobutyric acid dehydrogenase	b1300	Alternate Carbon Metabolism
